title,video_id,url,artist
"GOSPEL REBORN 3 MASH UP(INTRO)Ben c,david wonder,guardian angel,ljay maasai,moji short babaa",H43XWS_jAxI,https://youtube.com/watch?v=H43XWS_jAxI,VDJ JONES
Best of Christian Rap (Hip Hop) Video Mix_Vol.1_Nov.2021 - DJ Bing The Kingdom Boy],Uexs4fBPpPg,https://youtube.com/watch?v=Uexs4fBPpPg,DJ Bing [The Kingdom Boy]
HILLSONG WORSHIP | LIVE AT TEAM NIGHT NON-STOP MIX 2023.,daC_1KzdJgA,https://youtube.com/watch?v=daC_1KzdJgA,ARK GENERATION
GOSPEL DRIVE VOL.1-DJ DASH FT CHRISTINA SHUSHO|MERCY MASIKA|ANGELA CHIBALONZA|SIZE 8|EUNICE NJERI,zS2QnAs-CaM,https://youtube.com/watch?v=zS2QnAs-CaM,DJ DASH KENYA
MOJI  SHORT BABA HIGHLY FAVOURED BY YOUNG COURAGEOUS DANCERS,Us1-rT_-X7A,https://youtube.com/watch?v=Us1-rT_-X7A,The Courageous Dancers Official
GUARDIAN ANGEL X MOJISHORTBABAA VIDEO MIX MIX BY  UPLIFT DJS,GFC8fzue_ME,https://youtube.com/watch?v=GFC8fzue_ME,Lebbz tha Dj
Dj Lebbz 2021 Live Kenyan gospel video Mix Vol 7,UIIQWbeot5k,https://youtube.com/watch?v=UIIQWbeot5k,Lebbz tha Dj
New Amapiano VS Afrobeat BANGERS!!! Gospel Mix | 2023 {Mixed in Key},gzlCRPLyZqc,https://youtube.com/watch?v=gzlCRPLyZqc,jambo skinner
"Alive in the Park 2025 🎶🔥 | Pompi, Esther Chungu, Moji Short Baba & More | 5 Years Celebration 🎉",NQHuIV5Fqpo,https://youtube.com/watch?v=NQHuIV5Fqpo,xtian star profile-bb
Kymo and Stigah   Thitima Christmas Rendition  OFFICIAL VIDEO,4Z7qevjI-SI,https://youtube.com/watch?v=4Z7qevjI-SI,GSengo
"Once In Darkness, Now I walk In The Light - Michelle N. Ntalami (Woman Without Limits)",UBSOjMfE5bw,https://youtube.com/watch?v=UBSOjMfE5bw,Lady Bishop Kathy Kiuna
Gospel Hip Hop 2020 mix,93SGJKF3zq0,https://youtube.com/watch?v=93SGJKF3zq0,Iamjoelz
BEST OF KIKUYU GOSPEL MASHUPS PART FIVE FT SELECTOR DEDEE,YE-nFP-YrEE,https://youtube.com/watch?v=YE-nFP-YrEE,DEDEE
PST. NG'ANG'A FULL PERFOMANCE AT RHEMA FEAST 2025,COkEFQLdz1U,https://youtube.com/watch?v=COkEFQLdz1U,Baruthi wa Thayu - TV
Sifa Music - IYO (New Gospel Music),Uv0UwbaAwwM,https://youtube.com/watch?v=Uv0UwbaAwwM,Sifa Music
"DJ Prince Kim #upliftingGospel Mix 2 (Guardian Angel, Obby Alpha, Mr Googz, Moji Shortbaba)",0dBD-e_WFks,https://youtube.com/watch?v=0dBD-e_WFks,DJ Prince Kim
"BEST OF KENYAN GOSPEL SONGS MIX 2019 - DJ RICHIE FT GUARDIAN ANGEL,BAHATI,HOPEKID",hIS2vh65_pg,https://youtube.com/watch?v=hIS2vh65_pg,RICHY HANIEL
Cacica - Greater Than Solomon (Official Video) [Skiza 9044723],P9_CsHkGIqk,https://youtube.com/watch?v=P9_CsHkGIqk,Caterina W
UGANDA'S BEST URBAN GOSPEL MIX | EP. 3 [DJ MARTINIQUE 254] UGANDAGOSPEL | GOSPEL DANCE HALL/AFROBEAT,jBt7B7r6WfI,https://youtube.com/watch?v=jBt7B7r6WfI,Dj Martinique 254
ANGUKA NAYO(GOSPEL REFIX) OKOKA NAO BY [BAGEE ALONE X MUCHORIA X TELVO],HJVF40gucwM,https://youtube.com/watch?v=HJVF40gucwM,BageeNation
HYPE TURN UP MIX 18 KATIKA VS DUNDAING  DJ CIBIN,wF2PQze5weI,https://youtube.com/watch?v=wF2PQze5weI,Dj Cibin Kenya
Mtaani Entertainment - Baba Yetu | Gospel Amapiano (Official Dance Video),ygY3aqVocSA,https://youtube.com/watch?v=ygY3aqVocSA,Mtaaniii
DANCE PRESENTATION: SONG HIGHLY FAVOURED - MOJISHORT BABA,NZPnOJ5lkfU,https://youtube.com/watch?v=NZPnOJ5lkfU,PEFA GOODTIDINGS CHURCH
"BEST OF GOSPEL MIX DJ DIMPO    KAMBUA,KABERERE,MR SEED,SHUSHO MOG,MASIKA,JANET OTIENO,SIZE 8,GLORIA",zsi_9hdWC4Y,https://youtube.com/watch?v=zsi_9hdWC4Y,Dj Dimpo
Jozzy ke_vile inafaa. mp4 visualizer,WAVxcQM8KGw,https://youtube.com/watch?v=WAVxcQM8KGw,Jozzyke
NADEKA - MIX TAPE  by DJ REGUN ( BEST OF GUARDIAN ANGEL ),iJO2MlrluzU,https://youtube.com/watch?v=iJO2MlrluzU,Guardian Angel Global
Gospel Party Mixtape vol 4 (B) 🔥 - The Party Starts Here!,_eN9yWuy5Nw,https://youtube.com/watch?v=_eN9yWuy5Nw,Aksam Deejay
Gospel 2D Streets Mixtape | Top Dancehall Gospel Hitz 2021| DJ Marc,ik_Ly77dg7E,https://youtube.com/watch?v=ik_Ly77dg7E,DJ MARC
Exclusively African Christian Rhythms Vol.1 #DeejayDerro,Yq4cYSFGimE,https://youtube.com/watch?v=Yq4cYSFGimE,Deejay Derro
MEA KUS WANI WEARIWEN MANZ KHANMOUJI 😭 | DULHAN CRYING 💔 | BOYA DANCER 💃| Singer Dilber Bilal #viral,1JLOXCDpt8s,https://youtube.com/watch?v=1JLOXCDpt8s,Dilber Bilal Official
Ben C - Nyasaye {Official Dance Video},Sz-4Tx8x7To,https://youtube.com/watch?v=Sz-4Tx8x7To,Ben C again
King Kaka blames Kenya's media for Tanzania-Nigeria music invasion| Tuko TV,ke2mp0Ugpwc,https://youtube.com/watch?v=ke2mp0Ugpwc,Tuko / Tuco - Kenya
Gospel Dancehall Mix | The Kingdom Assignment Ep 10 | DJ PetRox,VJ7PWPDyXKo,https://youtube.com/watch?v=VJ7PWPDyXKo,Phancy PH
"Dj Joe Mfalme Mixx 76 - Jam Session, Riddims, Dancehall, Vybz Kartel, Mavado, Konshens, Demarco.",4UnoH-elHhc,https://youtube.com/watch?v=4UnoH-elHhc,DJ Joe Mfalme
VEEJAY JAVORN AND DJ RAJ PRESENTS GOSPEL FIRE MIN MIX [DAVID WONDER|MR SEED JFAM|SIZE 8|SHORT BABA]🔥,ywQbtwOX_fg,https://youtube.com/watch?v=ywQbtwOX_fg,VEEJAY JAVORN (THE MADSPIN)
"Ultimate Gospel vol 4 MIX- DJ GEEWILL - HOT KENYAN GOSPEL MIX Bahati,LJ Maasai,Hopekid,Odi ,Size 8🔥🔥",6heands9F64,https://youtube.com/watch?v=6heands9F64,Dj Geewill
VIBEZ FULLINGS AFROBEATS MIX NEW 2020-2021,Szd0xrF410M,https://youtube.com/watch?v=Szd0xrF410M,DJ breezah official 
"DJ Neptune, Spyro - Count Your Blessings | Reaction",DgcEHXqwfiQ,https://youtube.com/watch?v=DgcEHXqwfiQ,Banks’ Reactions
NIMEKUJA KUSEMA ASANTE(SARA K)  GOSPELMIX WITH DJ LEBBZ (THA ACTIVATOR) EXCLUSIVE NEW MUSIC 2023,AgnPBun9skU,https://youtube.com/watch?v=AgnPBun9skU,Lebbz tha Dj
HYPED OLD SCHOOL LOCAL URBAN GOSPEL EDITION MIXTAPE-SELECTA CULTURE THE BADDEST DJ_SIZE 8_DADDY OWEN,CqWYpL_QgJA,https://youtube.com/watch?v=CqWYpL_QgJA,SELECTA CULTURE THE BADDEST DJ
Freestyle,QGKqOTZ9-pY,https://youtube.com/watch?v=QGKqOTZ9-pY,Mutonguni high
"Pop, EDM, Urban pop mix by DJ TAIN. THE VIRUS EFFECT Vol 1",I0Ja2RJ4VAQ,https://youtube.com/watch?v=I0Ja2RJ4VAQ,Dj Tain
BEST SWAHILI GOSPEL MIX 2022 | KENYAN GOSPEL DRIVE - DJ Bing [The Kingdom Boy ] Ft. DJ Alante,gFdwE5n8qh8,https://youtube.com/watch?v=gFdwE5n8qh8,DJ Bing [The Kingdom Boy]
R&B | HIP-HOP MIX 2022 (DJ NICK),uPEbnLYjeuw,https://youtube.com/watch?v=uPEbnLYjeuw,DJ NICK OFFICIAL
East African East African Swahili Gospel Video Mix Vol 29,OTJa6qLNOu8,https://youtube.com/watch?v=OTJa6qLNOu8,Lebbz tha Dj
AFROBEATS 2021 VIDEO MIX| AFROBEAT MIX| AFROBEATS GOSPEL |AFROBEATS MUSIC (LIMOBLAZE|POMPI|NAFFYMAR),9d_1_180RgI,https://youtube.com/watch?v=9d_1_180RgI,Iamjoelz
Megga urban gospel mix vol 8,O21t_PbPwFQ,https://youtube.com/watch?v=O21t_PbPwFQ,Deejay Giovanni Ug
THE BEST OF GOSPEL AFROBEAT MIX. AQUA  MIXTAPE 2.,NnYK2TZ2Rco,https://youtube.com/watch?v=NnYK2TZ2Rco,BLUE'S EMPIRE 
BEST OF SERRO-SERRO x DJ DOLPHIN,xyCT4uWdQPM,https://youtube.com/watch?v=xyCT4uWdQPM,Dolphinthe dj
Sands 101 - SA hip hop music mix 2015,ifyUCjLGgLs,https://youtube.com/watch?v=ifyUCjLGgLs,sandile sithole
"Selector Dedee - Gospel Flow Episode One [Moji shortbaba,Karwirwa laura,Jabidi,Benachi,David wonder]",uncPxeygrc4,https://youtube.com/watch?v=uncPxeygrc4,DEDEE
BESTGOSPEL HIPHOP HITS XPERIENCE MIX VOL.2 DJ LAZ LECRAE TRIPLEE KB EKO DYDDA MR TEE MUHANJI VROSE,7wC9JaStBwo,https://youtube.com/watch?v=7wC9JaStBwo,Deejay Laz Worldwide🌍
"New Christian Rap Mix | Inspirational Gospel Rap Songs"" DJ CEA 254  2022",xlu2vuCd9A8,https://youtube.com/watch?v=xlu2vuCd9A8,Dj Cea Kenya
"REGGAE RIDDIM MIX(SANCHEZ,GREGORY ISSAC,CHRONIXX,CHRIS MARTIN - DJ TRAPSTEIN",N4lyxJuy9jE,https://youtube.com/watch?v=N4lyxJuy9jE, DJ TRAPSTEIN
kranium - give thanks (dance video),1weVrKNIQoY,https://youtube.com/watch?v=1weVrKNIQoY,Ax'L Visual
VIBE 4 | DJ PUKI | BEST KENYAN PARTY VIBE | VYBZ KARTEL | KONSHENS | KANSOUL | MEJJA | SAUTI SOL,7eOfsp5ZgiI,https://youtube.com/watch?v=7eOfsp5ZgiI,DJ PUKI
GOSPEL 2021 DJ FENDER FT DJ JUMPRIX CHRIST GENIUS MIXTAPE VOL III,Nuq1OdpfZKk,https://youtube.com/watch?v=Nuq1OdpfZKk,DJ JUMPRIX
Dynasty Mix Vol xv - Best of Stonee Jiwe,Yq9C88e9DzU,https://youtube.com/watch?v=Yq9C88e9DzU,DjDr Jeff
HOT & NEW AFROBEAT LIVE MIX | GOSPEL | RAW STUDIO SESSION!!,gIOb6MExP0I,https://youtube.com/watch?v=gIOb6MExP0I,jambo skinner
BEST OF SWAHILI GOSPEL VIDEO MIX | JOEL LWAGA | REHEMA SIMFUKWE - DJ OWE KENYA,D-ehtPj5ZUk,https://youtube.com/watch?v=D-ehtPj5ZUk,DJ OWE KENYA
Kubamba Radio Mix - Deejay Sean Ke,D8zj1LBo0wE,https://youtube.com/watch?v=D8zj1LBo0wE,Deejay Sean Ke
KENYA GOSPEL RAP MIX 2019,UkOiQHYx8Q8,https://youtube.com/watch?v=UkOiQHYx8Q8,DavidZilla Music
HIP HOP MIX PARTY 2022 | 2022 HIP HOP PARTY MIX,hRn4ZRifwqA,https://youtube.com/watch?v=hRn4ZRifwqA,Dj Malonda
AMOS PERFOMING LIVE AT GROOVE TOUR 2018,rC3oh87lTWQ,https://youtube.com/watch?v=rC3oh87lTWQ,Groove Awards
"665 - खाट मुददी मारी हे मै ऊपर बैठी आप || कलाकार- मोजी जागलान, गुरप्रीत कौर, बाली || COMEDY LOKGEET",Y__w-BnIKzY,https://youtube.com/watch?v=Y__w-BnIKzY,HARYANVI FOLK
Series 11 Kenya Gospel djprince sassyboy Daddy Owen JImmy Gait MOG Danny gift BMF Willy Paul KRISS,8mfV6hVkB7M,https://youtube.com/watch?v=8mfV6hVkB7M,djprince sassyboy
I AM NOT DATING KRISBABYY OR SAMANTHA DEDRA 😫💔COLLOBLUE SENDS A MESSAGE TO HIS FANS🙁😟,fLL1yi4EVqk,https://youtube.com/watch?v=fLL1yi4EVqk,I Am Kunchy
STORY YANGU,d4_r2l-pJBA,https://youtube.com/watch?v=d4_r2l-pJBA,Stephen Kimani
🇰🇪 KENYAN URBAN GOSPEL MIX 2025,xgeWG-po_kk,https://youtube.com/watch?v=xgeWG-po_kk,JCIOM MUSIC
"Dj Joe Mfalme Mix 54 - Made In Jamaica, Reggae, Riddims, One Drop.",zjmuV0b7fj4,https://youtube.com/watch?v=zjmuV0b7fj4,DJ Joe Mfalme
DJ Ruff Old Skool Gospel Mix (Kenyan) | DJ Ruff In The House 1,xkgKvyajopY,https://youtube.com/watch?v=xkgKvyajopY,DJ RUFF TV
KENYAN GOSPEL MIX 2021 BY DJ WYSH | BEST OF KB MUSIQ MIX,ToNKx_5OPk8,https://youtube.com/watch?v=ToNKx_5OPk8,DJ WYSH KE
Cacica - SuperBeing (Official Video) [Skiza 9044724 or 9044729],oSHi_uhiIyQ,https://youtube.com/watch?v=oSHi_uhiIyQ,Caterina W
BEST GOSPEL HIPHOP XPERIENCE VIDEO MIX VOL. 3 DJ LAZ {KANYE KB DJ KHALED LECRAE TEDASHI TRIP LEE},MW5PcDlDRMs,https://youtube.com/watch?v=MW5PcDlDRMs,Deejay Laz Worldwide🌍
Best Gospel Reggae Mix By DJ CAPRISE (THE HOMECOMING EP. 1),KD-XDShJ2pA,https://youtube.com/watch?v=KD-XDShJ2pA,Deejay Caprise
🇰🇪 KENYAN URBAN GOSPEL MIX 2024 (MASHUP🤩 EDITION),WuJlF1WPRBo,https://youtube.com/watch?v=WuJlF1WPRBo,JCIOM MUSIC
"DJ WYSH - STREET GOSPEL ARBANTONE MIX VOL.5 Ft. Set it, Anguka Nayo, Kudade, Miel Matin, Mc Mido",FzcTG_XlbSY,https://youtube.com/watch?v=FzcTG_XlbSY,DJ WYSH KE
4Mr Frank White - Imagine Freestyle (Dir Cnot),tTybeYlj8xA,https://youtube.com/watch?v=tTybeYlj8xA,4Mr Frank White
Kenyan Gospel Type Beat,sJ746kcT6aY,https://youtube.com/watch?v=sJ746kcT6aY,Eduh Msafi
DJSMITHKE FT BEST OF GUARDIAN ANGEL,8TiowvPaHjw,https://youtube.com/watch?v=8TiowvPaHjw,DJ SMITH KE TV
"DJ TELLEM .....KENYAN THROWBACK MIX ,Esir,Pilipili,Nameless,Klepto,juacali,jimwat,ladyS,Nonini,",Lr8LNaBo3kU,https://youtube.com/watch?v=Lr8LNaBo3kU,DJ JUMPRIX
Mziki dance by razarce hype squad official video,5fFOZ8soATw,https://youtube.com/watch?v=5fFOZ8soATw,Dj Charlo
GUARDIAN ANGEL l KIJITO LYRICS,RylMLbmOgHk,https://youtube.com/watch?v=RylMLbmOgHk,GabroTz
🔥🔥GOSPEL TAKEOVER  MIX 2023| MAKOFI ANTHEM I DJ CJ 254 IJABIDII I MOJI I TIMELESS NOEL I K SUFURI I,G_ajOXITpWA,https://youtube.com/watch?v=G_ajOXITpWA,DJ CJ 254
Umoja Icons - Dancehall mix routine x Odi,CPRXn3eg4_s,https://youtube.com/watch?v=CPRXn3eg4_s,Niji
Gospel Playlist Lounge Worship van DJ Pina Jones Various Examen 2018,BW_moqlUx5s,https://youtube.com/watch?v=BW_moqlUx5s,DJ Pina Jones
Dj job- THITIMA THANKSGIVING MAFANS MIX,f-_w7p0s4DI,https://youtube.com/watch?v=f-_w7p0s4DI,Deejay Job (Dj job /DJ J.O.B)
Cheza Gospel: Street Party 2025,Li9Q6S8ay-g,https://youtube.com/watch?v=Li9Q6S8ay-g,City Lighters Church
"Gospel Flow Episode 4 x Selector Dedee Ft [Kirk Franklin,Rehema Simfukwe,Ada Ehi,Jabidi,Jfam ...]",RNds8duJMP0,https://youtube.com/watch?v=RNds8duJMP0,DEDEE
"DJ WYSH X HYPE THE DJ - HOUDINATION VOL.7 |  GUARDIAN ANGEL, DAVID WONDER, JABIDII, TIMELESS NOEL",PglFF1jwGKI,https://youtube.com/watch?v=PglFF1jwGKI,DJ WYSH KE
Best Of Urban Gospel Mix 2022 | Best Of Gengeton Gospel Mix 2022 | Best Of Amapiano Gospel Mix 2022,crjfsby5mog,https://youtube.com/watch?v=crjfsby5mog,DJ BULLION 254
"2022  AFRICA JUMPOFF VOL 1 SELEKTA NESTA l WIZKID,SAUTI SOL,MEJJA,BURNA BOY,JOEBOY,OMAH LAY,REMA",UWGPklQYSyc,https://youtube.com/watch?v=UWGPklQYSyc,Dapstrem Entertainment
JABIDII MAKOFI CHALLENGE BY XTREME042 DANCE CREW,5sY2abPuWt4,https://youtube.com/watch?v=5sY2abPuWt4,Xtreme042 Kenya (dance crew)
dj kiefer sanp 01,Ov97ctpIwRg,https://youtube.com/watch?v=Ov97ctpIwRg,djkiefer X soundkief
KISWAHILI GOSPEL MIX 2022  URBAN GOSPEL by DJ PRIZE 254,-olGRm4YpIQ,https://youtube.com/watch?v=-olGRm4YpIQ,DJ PRIZE 254
Oya oya by Dr fisher,ecq5U_6396k,https://youtube.com/watch?v=ecq5U_6396k,Dr fisher music
BEST  KENYAN TRAP DRILL HIPHOP MIX 2023,5yLefMBYBMU,https://youtube.com/watch?v=5yLefMBYBMU,Dj Go-Fleek
#mc joshu at capital FM it was lit #Thevibelive hosted by DJ joemfalme,4Fo9iYU2ZCU,https://youtube.com/watch?v=4Fo9iYU2ZCU,FAGILIA TV
सौकण || HARYANVI COMEDY SHORT FILM || MOJI JAGLAN || GURPREET KAUR || CUTE ROHILA,yBKgCx5P4h0,https://youtube.com/watch?v=yBKgCx5P4h0,HARYANVI FOLK
Urban Gospel Mix 2023 | The Kingdom Assignment Ep 9 | Phancy PH,V5Zo3TZJWl0,https://youtube.com/watch?v=V5Zo3TZJWl0,Phancy PH
Redsan's Hustle | Trace Radio Recap,5iiStiAkL1s,https://youtube.com/watch?v=5iiStiAkL1s,Trace Eastern Africa
🌄2024 GOSPEL AFROBEATS VIDEO MIX 2024,W-VQfIUCd9s,https://youtube.com/watch?v=W-VQfIUCd9s,JCIOM MUSIC
🌎URBAN HIHOP GOSPEL VIDEO MIX 2024,esT7-gGJQ9s,https://youtube.com/watch?v=esT7-gGJQ9s,JCIOM MUSIC
BEST OF MERCY MASIKA BY UPLIFT DJS,cGDBTtMhNsE,https://youtube.com/watch?v=cGDBTtMhNsE,Lebbz tha Dj
Talented sunday school children | dance ya kanisa.,DFwYW1T3eRc,https://youtube.com/watch?v=DFwYW1T3eRc,CCWC SANCTUARY
WizKid - Daddy Yo (Official dance challenge) - Huitfambo dance crew,Kui6XSqeq1o,https://youtube.com/watch?v=Kui6XSqeq1o,HuitFambo TV
BEST KENYAN GOSPEL MIX 2022 - DJ WYSH X DJ SONCH | GOSPEL INVASION MIX VOL.3 | DEUS DERRICK | BEN C,0lYlHHZY6Ww,https://youtube.com/watch?v=0lYlHHZY6Ww,DJ WYSH KE
Kirengo pefa church Choir - ya dunia ni mapito,zFDlk_mhls0,https://youtube.com/watch?v=zFDlk_mhls0,Gctv Media Ltd
"LATEST MWAMBA GOSPEL MIX, GUARDIAN ANGEL, SHUSHO, RINGTONE, ft DJ TPAD x Mc OFINDO",F7Vq5vOa3pQ,https://youtube.com/watch?v=F7Vq5vOa3pQ,Dj tpad
Planet shakers empire dance crew thika,1l1raPBsUNc,https://youtube.com/watch?v=1l1raPBsUNc,Francis Ndungu
Zungusha by jabidii official dance by covenant,krXChx4Vx14,https://youtube.com/watch?v=krXChx4Vx14,Shakers 3D
Goche - Meme (Post Yesu) ft Shiraa (OFFICIAL VIDEO),lhcwccSyggY,https://youtube.com/watch?v=lhcwccSyggY,Realtyme music
